 Defined Configuration:----------------------
Number of components: 1 
Equation of State:    CPA+RG 
Mixing Rule:          VdW1f 
Components:           Methanol 
Feed Composition:     [0.5, 0.5] 
Association Rule:     2B 
Combining Rule:       CR-1 
============================================
T;rhov;rhol;P

300.0;-19.322381346;24588.5940188;0.00883025
312.3039582;7.297534248;24218.2663031;0.001325013
324.409442584;30.989707095;23841.1540286;0.02458584
336.314524745;53.16462989;23455.4844863;0.072514504
348.015684673;75.138375259;23059.5062852;0.1415858
359.507868628;98.315766561;22651.3448283;0.229933661
370.784383159;125.507963062;22229.2525242;0.337388712
381.83625544;172.944093664;21791.490375;0.468657981
392.645528581;243.512434925;21337.8357978;0.641204321
403.192690262;322.538839909;20866.9220893;0.85570422
413.464881887;423.764277322;20377.3645034;1.116331081
423.441682;545.639738122;19868.056703;1.425834648
433.102890482;697.308740569;19337.8968795;1.787528564
442.423184552;861.449547581;18785.563805;2.199946918
451.38524168;1061.53807992;18209.1739794;2.662163552
459.95905963;1294.92857543;17607.2175982;3.171619633
468.115204141;1565.85206154;16977.5219196;3.723667274
475.82103907;1880.36828429;16317.1377582;4.31178112
483.039423807;2246.78177512;15621.8538249;4.927417689
489.726959832;2677.0145839;14885.1763218;5.559735225
495.831040701;3189.21787178;14096.1916213;6.195114744
501.284527576;3814.81806362;13234.3258844;6.816307111
505.994281486;4621.05559936;12253.3072066;7.400696127
509.81040729;5826.16215035;11007.9610573;7.91587502
511.105857017;6702.40961853;10242.9733018;8.102970147
511.75358188;7597.93061676;9524.93349508;8.200311103
511.75358188;7597.93061322;9524.93351996;8.200311103
511.915513096;8029.64831135;9166.36253669;8.225206684
511.996478704;8616.79256246;8616.79256246;8.237755668
